Date,Temperature_C,Rainfall_mm,Arrivals_Tonnes,Min_Price,Max_Price,Modal_Price,Diesel_Price_Rs
2021-01-01,22.012497,0.6,91.0,1043.3333333333333,2604.0,2083.3333333333335,80.2
2021-01-02,21.610415,0.0,721.0,500.3333333333333,1867.3333333333333,1520.3333333333333,80.26
2021-01-03,21.068752,1.4000001,590.0,500.0,2100.0,1400.0,80.33
2021-01-04,21.212502,1.1000001,112.0,1256.6666666666667,2607.6666666666665,2217.3333333333335,80.39
2021-01-05,21.539581,0.5,3223.0,1066.6666666666667,2377.0,2033.3333333333333,80.45
2021-01-06,21.41667,2.1,1380.0,900.0,2641.0,2550.0,80.52
2021-01-07,22.018751,5.3,1380.0,900.0,2641.0,2550.0,80.58
2021-01-08,22.397917,0.9000001,1380.0,900.0,2641.0,2550.0,80.64
2021-01-09,22.622917,1.0,1380.0,900.0,2641.0,2550.0,80.71
2021-01-10,22.916666,0.0,1380.0,900.0,2641.0,2550.0,80.77
2021-01-11,22.714582,0.0,1388.0,1500.0,3270.0,3000.0,80.83
2021-01-12,21.775,0.0,1388.0,1500.0,3270.0,3000.0,80.9
2021-01-13,21.206251,0.0,696.0,1500.0,2831.0,2600.0,80.96
2021-01-14,21.587502,0.0,2775.0,1133.3333333333333,2917.3333333333335,2400.3333333333335,81.02
2021-01-15,22.104166,0.0,1900.0,1000.0,3061.0,2501.0,81.09
2021-01-16,22.708334,0.0,2046.0,1133.3333333333333,2847.6666666666665,2456.6666666666665,81.15
2021-01-17,23.427084,0.0,1026.0,900.0,3002.0,2620.0,81.21
2021-01-18,23.027082,0.0,2946.0,1290.5,2976.0,2660.0,81.28
2021-01-19,21.760414,0.0,3564.0,1333.3333333333333,3101.3333333333335,2800.3333333333335,81.34
2021-01-20,20.147919,0.0,2743.0,1200.0,3070.0,2575.0,81.4
2021-01-21,21.052082,0.0,3698.0,1333.3333333333333,2981.0,2556.6666666666665,81.47
2021-01-22,21.858335,0.0,3392.0,1233.3333333333333,2817.3333333333335,2450.0,81.53
